Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VN30,1345.65,23/10/2024,09:33:57,1345.56,1345.92,1345.27,1345.65,1615700
VN30,1346.36,23/10/2024,09:34:57,1345.52,1346.36,1345.49,1346.36,1263100
VN30,1346.30,23/10/2024,09:35:57,1346.10,1346.47,1345.64,1346.30,1570800
VN30,1347.29,23/10/2024,09:36:57,1346.79,1347.29,1346.26,1347.29,1445800
VN30,1347.78,23/10/2024,09:37:57,1347.47,1348.08,1347.26,1347.78,679500
VN30,1347.73,23/10/2024,09:38:57,1348.15,1348.15,1347.51,1347.73,1031300
VN30,1347.73,23/10/2024,09:39:57,1347.86,1347.89,1347.50,1347.73,1019900
VN30,1348.54,23/10/2024,09:40:57,1348.09,1348.61,1347.91,1348.54,881500
VN30,1348.71,23/10/2024,09:41:57,1348.45,1349.01,1348.39,1348.71,475700
VN30,1348.27,23/10/2024,09:42:57,1348.58,1348.82,1348.27,1348.27,569100
VN30,1348.36,23/10/2024,09:43:57,1348.33,1348.75,1348.32,1348.36,686000
VN30,1349.29,23/10/2024,09:44:57,1348.57,1349.29,1348.34,1349.29,973200
VN30,1349.65,23/10/2024,09:45:57,1349.29,1349.83,1349.22,1349.65,1093100
VN30,1349.68,23/10/2024,09:46:57,1349.61,1349.75,1349.32,1349.68,802100
VN30,1349.34,23/10/2024,09:47:57,1349.67,1349.70,1349.27,1349.34,604500
VN30,1349.46,23/10/2024,09:48:57,1349.57,1349.90,1349.40,1349.46,663000
VN30,1349.72,23/10/2024,09:49:57,1349.45,1349.86,1349.45,1349.72,724000
VN30,1348.95,23/10/2024,09:50:57,1349.72,1349.72,1348.85,1348.95,1229700
VN30,1348.84,23/10/2024,09:51:57,1348.63,1349.33,1348.63,1348.84,630600
VN30,1348.46,23/10/2024,09:52:57,1348.68,1349.07,1348.21,1348.46,849200
VN30,1347.98,23/10/2024,09:53:57,1348.64,1348.78,1347.98,1347.98,1331200
VN30,1347.79,23/10/2024,09:54:57,1348.07,1348.30,1347.56,1347.79,1556500
VN30,1346.99,23/10/2024,09:55:57,1347.79,1348.08,1346.99,1346.99,1748600
VN30,1346.75,23/10/2024,09:56:57,1346.92,1347.18,1346.75,1346.75,1457600
VN30,1346.25,23/10/2024,09:57:57,1346.75,1346.75,1346.25,1346.25,761200
VN30,1346.62,23/10/2024,09:58:57,1346.19,1346.70,1346.08,1346.62,1095000
VN30,1346.43,23/10/2024,09:59:57,1347.06,1347.12,1346.27,1346.43,635000
VN30,1346.59,23/10/2024,10:00:57,1346.43,1346.77,1346.37,1346.59,1729400
VN30,1347.03,23/10/2024,10:01:57,1346.68,1347.03,1346.61,1347.03,1302100
VN30,1347.32,23/10/2024,10:02:57,1347.03,1347.49,1346.85,1347.32,616000
VN30,1346.88,23/10/2024,10:03:57,1347.13,1347.33,1346.87,1346.88,498200
VN30,1346.85,23/10/2024,10:04:57,1346.88,1346.99,1346.53,1346.85,674800
VN30,1346.96,23/10/2024,10:05:57,1346.94,1347.17,1346.61,1346.96,697700
VN30,1347.50,23/10/2024,10:06:57,1346.75,1347.50,1346.75,1347.50,581300
VN30,1347.09,23/10/2024,10:07:57,1347.26,1347.26,1346.85,1347.09,619900
VN30,1346.80,23/10/2024,10:08:57,1346.88,1346.91,1346.61,1346.80,552300
VN30,1346.64,23/10/2024,10:09:57,1346.86,1346.86,1346.14,1346.64,715200
VN30,1346.36,23/10/2024,10:10:57,1346.64,1346.65,1346.10,1346.36,383200
VN30,1346.74,23/10/2024,10:11:57,1346.64,1346.83,1346.36,1346.74,616300
VN30,1346.41,23/10/2024,10:12:57,1346.63,1346.85,1346.15,1346.41,740000
VN30,1346.45,23/10/2024,10:13:57,1346.54,1346.73,1346.29,1346.45,457100
VN30,1346.11,23/10/2024,10:14:57,1346.69,1346.79,1346.02,1346.11,779700
VN30,1346.57,23/10/2024,10:15:57,1346.04,1346.57,1345.94,1346.57,1214800
VN30,1345.83,23/10/2024,10:16:57,1346.87,1346.87,1345.83,1345.83,792400
VN30,1345.27,23/10/2024,10:17:57,1345.69,1345.76,1345.21,1345.27,960300
VN30,1344.19,23/10/2024,10:18:57,1345,1345.39,1344.05,1344.19,1486300
VN30,1344.21,23/10/2024,10:19:57,1344.49,1344.72,1343.90,1344.21,1389200
VN30,1343.70,23/10/2024,10:20:58,1344.07,1344.35,1343.58,1343.70,995500
VN30,1344.34,23/10/2024,10:21:58,1343.89,1344.37,1343.75,1344.34,524600
VN30,1344.33,23/10/2024,10:22:58,1344.13,1344.44,1343.94,1344.33,1097400
VN30,1343.77,23/10/2024,10:23:58,1344.32,1344.32,1343.62,1343.77,1159300
VN30,1344.10,23/10/2024,10:24:58,1343.78,1344.77,1343.72,1344.10,1376800
VN30,1344.64,23/10/2024,10:25:58,1344.29,1345.04,1344.22,1344.64,1793600
VN30,1345.02,23/10/2024,10:26:58,1344.68,1345.02,1344.34,1345.02,1344000
VN30,1344.15,23/10/2024,10:27:58,1344.96,1345.16,1344.03,1344.15,1040200
VN30,1343.96,23/10/2024,10:28:58,1344.37,1344.57,1343.80,1343.96,613500
VN30,1344.11,23/10/2024,10:29:58,1343.96,1344.11,1343.65,1344.11,480600
VN30,1343.21,23/10/2024,10:30:58,1344.32,1344.35,1343.21,1343.21,966600
VN30,1342.96,23/10/2024,10:31:58,1343.42,1343.66,1342.76,1342.96,2180900
VN30,1342.90,23/10/2024,10:32:58,1343.20,1343.20,1342.64,1342.90,1382500
VN30,1342.53,23/10/2024,10:33:58,1342.74,1343.07,1342.53,1342.53,1391500
VN30,1341.84,23/10/2024,10:34:58,1342.66,1343.10,1341.84,1341.84,1076700
VN30,1341.79,23/10/2024,10:35:58,1342.28,1342.28,1341.78,1341.79,2274000
VN30,1340.57,23/10/2024,10:36:58,1341.58,1341.61,1340.57,1340.57,1706000
VN30,1340.42,23/10/2024,10:37:58,1341.18,1341.18,1340.42,1340.42,1847500
VN30,1340.17,23/10/2024,10:38:58,1340.13,1340.76,1340.13,1340.17,2021300
VN30,1341.17,23/10/2024,10:39:58,1340.18,1341.17,1340.18,1341.17,1821300
VN30,1342.53,23/10/2024,10:40:58,1340.98,1342.53,1340.98,1342.53,1057400
VN30,1342.24,23/10/2024,10:41:58,1342.61,1342.74,1341.99,1342.24,1173800
VN30,1343.04,23/10/2024,10:42:58,1342.51,1343.04,1342.41,1343.04,949700
VN30,1343.14,23/10/2024,10:43:58,1343.17,1343.36,1343.02,1343.14,601400
VN30,1343,23/10/2024,10:44:58,1343.25,1343.25,1342.88,1343,883500
VN30,1343.21,23/10/2024,10:45:58,1343.24,1343.39,1342.53,1343.21,708300
VN30,1343.41,23/10/2024,10:46:58,1343.19,1343.41,1342.84,1343.41,819400
VN30,1342.99,23/10/2024,10:47:58,1343.40,1343.42,1342.91,1342.99,1079600
VN30,1343.54,23/10/2024,10:48:58,1343.05,1343.83,1343.05,1343.54,953600
VN30,1343.28,23/10/2024,10:49:58,1343.71,1343.88,1342.71,1343.28,829000
VN30,1342.35,23/10/2024,10:50:58,1343.34,1343.59,1342.15,1342.35,1025400
VN30,1342.22,23/10/2024,10:51:58,1342.60,1342.91,1342.22,1342.22,617800
VN30,1342.44,23/10/2024,10:52:58,1342.34,1342.53,1342.06,1342.44,417800
VN30,1341.74,23/10/2024,10:53:58,1341.98,1342.58,1341.74,1341.74,513300
VN30,1342.19,23/10/2024,10:54:58,1342.31,1342.44,1341.94,1342.19,875700
VN30,1341.91,23/10/2024,10:55:58,1342.18,1342.18,1341.91,1341.91,635800
VN30,1342.03,23/10/2024,10:56:58,1341.91,1342.44,1341.61,1342.03,734800
VN30,1342.51,23/10/2024,10:57:58,1342.10,1342.71,1342.10,1342.51,595200
VN30,1342.94,23/10/2024,10:58:58,1342.51,1342.94,1342.31,1342.94,898000
VN30,1343.57,23/10/2024,10:59:58,1343.18,1343.57,1342.71,1343.57,459100
VN30,1343.29,23/10/2024,11:00:58,1343.20,1343.52,1342.80,1343.29,520300
VN30,1343.78,23/10/2024,11:01:58,1343.41,1343.79,1343.12,1343.78,659300
VN30,1343.40,23/10/2024,11:02:58,1343.95,1343.97,1343.17,1343.40,558400
VN30,1343.61,23/10/2024,11:03:58,1343.63,1343.89,1343.45,1343.61,426900
VN30,1343.58,23/10/2024,11:04:58,1343.73,1344.16,1343.58,1343.58,557000
VN30,1344.19,23/10/2024,11:05:58,1343.45,1344.19,1343.45,1344.19,522600
VN30,1344.30,23/10/2024,11:06:58,1344.28,1344.68,1343.98,1344.30,640400
VN30,1344.43,23/10/2024,11:07:58,1344.33,1344.84,1344.33,1344.43,385900
VN30,1344.68,23/10/2024,11:08:59,1344.58,1345.17,1344.58,1344.68,310700
VN30,1344.61,23/10/2024,11:09:59,1344.62,1344.87,1344.54,1344.61,668200
VN30,1344.89,23/10/2024,11:10:59,1344.83,1345.45,1344.83,1344.89,818100
VN30,1344.89,23/10/2024,11:11:59,1344.91,1345.04,1344.67,1344.89,428100
VN30,1345.24,23/10/2024,11:12:59,1344.77,1345.33,1344.76,1345.24,344100
VN30,1345.23,23/10/2024,11:13:59,1345.24,1345.24,1344.85,1345.23,537200
VN30,1345.67,23/10/2024,11:14:59,1345.30,1345.67,1345.08,1345.67,428000
VN30,1345.89,23/10/2024,11:15:59,1345.55,1345.89,1345.08,1345.89,290400
VN30,1345.66,23/10/2024,11:16:59,1345.91,1345.91,1345.39,1345.66,601200
VN30,1345.26,23/10/2024,11:17:59,1345.71,1345.71,1344.77,1345.26,684600
VN30,1345.46,23/10/2024,11:18:59,1345.22,1345.55,1345.13,1345.46,420100
VN30,1345.34,23/10/2024,11:19:59,1345.15,1345.60,1345.13,1345.34,983500
VN30,1345.25,23/10/2024,11:20:59,1345.51,1345.77,1345.25,1345.25,253200
VN30,1345.60,23/10/2024,11:21:59,1345.29,1345.66,1345.22,1345.60,523700
VN30,1345.72,23/10/2024,11:22:59,1345.32,1345.72,1345.32,1345.72,589600
VN30,1345.81,23/10/2024,11:23:59,1345.72,1345.85,1345.47,1345.81,642300
VN30,1346.03,23/10/2024,11:24:59,1345.60,1346.27,1345.60,1346.03,512700
VN30,1346.16,23/10/2024,11:25:59,1345.90,1346.25,1345.82,1346.16,407100
VN30,1346.71,23/10/2024,11:26:59,1346.03,1346.84,1346.03,1346.71,563300
VN30,1346.70,23/10/2024,11:27:59,1346.49,1346.70,1346.25,1346.70,437000
VN30,1346.47,23/10/2024,11:28:59,1346.55,1346.69,1346.23,1346.47,518500
VN30,1346.77,23/10/2024,11:29:59,1346.61,1347.15,1346.61,1346.77,692500
VN30,1346.77,23/10/2024,11:30:04,1346.77,1346.77,1346.77,1346.77,400
VN30,1346.67,23/10/2024,13:00:55,1346.59,1346.94,1346.19,1346.67,1458700
VN30,1346.96,23/10/2024,13:01:55,1346.67,1347.02,1346.46,1346.96,357100
VN30,1346.48,23/10/2024,13:02:55,1347.03,1347.26,1346.48,1346.48,542400
VN30,1346.26,23/10/2024,13:03:56,1346.62,1346.95,1346.26,1346.26,450700
VN30,1346.28,23/10/2024,13:04:56,1346.35,1346.54,1346.16,1346.28,631700
VN30,1345.94,23/10/2024,13:05:56,1346.11,1346.59,1345.94,1345.94,532700
VN30,1345.97,23/10/2024,13:06:56,1346.28,1346.55,1345.97,1345.97,623300
VN30,1346.09,23/10/2024,13:07:56,1346.40,1346.40,1345.89,1346.09,513900
VN30,1345.87,23/10/2024,13:08:56,1346.02,1346.42,1345.87,1345.87,782400
VN30,1346.13,23/10/2024,13:09:56,1345.81,1346.69,1345.81,1346.13,276600
VN30,1346.83,23/10/2024,13:10:56,1346.35,1346.86,1346.18,1346.83,475300
VN30,1347.22,23/10/2024,13:11:56,1346.28,1347.46,1346.28,1347.22,834500
VN30,1347.56,23/10/2024,13:12:56,1347.15,1347.89,1347.15,1347.56,599200
VN30,1347.52,23/10/2024,13:13:56,1347.34,1347.61,1347,1347.52,570600
VN30,1347.01,23/10/2024,13:14:56,1347.49,1347.49,1347.01,1347.01,750500
VN30,1347.36,23/10/2024,13:15:56,1346.94,1347.39,1346.94,1347.36,337800
VN30,1347.46,23/10/2024,13:16:56,1347.06,1347.65,1347.06,1347.46,428800
VN30,1347.68,23/10/2024,13:17:56,1347.56,1347.94,1347.30,1347.68,787600
VN30,1347.97,23/10/2024,13:18:56,1347.86,1348.05,1347.65,1347.97,788600
VN30,1347.72,23/10/2024,13:19:56,1348.03,1348.46,1347.65,1347.72,620300
